prompt_name,index,claim,ground_truth,prediction,correct,raw_label,error
dual_track_verifier,5,Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?,False,False,True,false,
dual_track_verifier,3,Did Joe Biden Use the N-Word in a Recorded Speech?,False,False,True,false,
dual_track_verifier,7,The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.,True,False,False,true,
dual_track_verifier,4,If Texas were a country our economy would rank # 10...in the WORLD.,True,False,False,true,
dual_track_verifier,8,Procter and Gamble and Satanism Rumor,False,False,True,false,
dual_track_verifier,6,Juval Aviv Terrorist Predictions,False,False,True,false,
dual_track_verifier,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
dual_track_verifier,2,Poll to Legalize Marijuana,False,True,False,false,
dual_track_verifier,9,SCAM ALERT: Texas Roadhouse Vouchers on Facebook,False,True,False,false,
dual_track_verifier,10,Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,False,False,True,false,
weighted_evidence_scorer,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
weighted_evidence_scorer,6,Juval Aviv Terrorist Predictions,False,False,True,false,
weighted_evidence_scorer,5,Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?,False,False,True,false,
weighted_evidence_scorer,8,Procter and Gamble and Satanism Rumor,False,False,True,false,
weighted_evidence_scorer,7,The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.,True,False,False,true,
weighted_evidence_scorer,2,Poll to Legalize Marijuana,False,True,False,false,
weighted_evidence_scorer,4,If Texas were a country our economy would rank # 10...in the WORLD.,True,False,False,true,
weighted_evidence_scorer,3,Did Joe Biden Use the N-Word in a Recorded Speech?,False,False,True,false,
weighted_evidence_scorer,9,SCAM ALERT: Texas Roadhouse Vouchers on Facebook,False,True,False,false,
weighted_evidence_scorer,10,Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,False,False,True,false,
cross_check_simulator,4,If Texas were a country our economy would rank # 10...in the WORLD.,True,False,False,true,
cross_check_simulator,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
cross_check_simulator,7,The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.,True,False,False,true,
cross_check_simulator,2,Poll to Legalize Marijuana,False,True,False,false,
cross_check_simulator,3,Did Joe Biden Use the N-Word in a Recorded Speech?,False,False,True,false,
cross_check_simulator,6,Juval Aviv Terrorist Predictions,False,False,True,false,
cross_check_simulator,8,Procter and Gamble and Satanism Rumor,False,False,True,false,
cross_check_simulator,5,Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?,False,False,True,false,
cross_check_simulator,9,SCAM ALERT: Texas Roadhouse Vouchers on Facebook,False,True,False,false,
cross_check_simulator,10,Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,False,False,True,false,
tribunal_judgment,6,Juval Aviv Terrorist Predictions,False,True,False,false,
tribunal_judgment,1,Oprah's advice regarding a ten percent tip.,False,True,False,false,
tribunal_judgment,4,If Texas were a country our economy would rank # 10...in the WORLD.,True,False,False,true,
tribunal_judgment,7,The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.,True,False,False,true,
tribunal_judgment,8,Procter and Gamble and Satanism Rumor,False,False,True,false,
tribunal_judgment,3,Did Joe Biden Use the N-Word in a Recorded Speech?,False,True,False,false,
tribunal_judgment,5,Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?,False,True,False,false,
tribunal_judgment,2,Poll to Legalize Marijuana,False,True,False,false,
tribunal_judgment,9,SCAM ALERT: Texas Roadhouse Vouchers on Facebook,False,False,True,false,
tribunal_judgment,10,Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,False,False,True,false,
editorial_board_vote,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
editorial_board_vote,4,If Texas were a country our economy would rank # 10...in the WORLD.,True,False,False,true,
editorial_board_vote,8,Procter and Gamble and Satanism Rumor,False,False,True,false,
editorial_board_vote,7,The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.,True,False,False,true,
editorial_board_vote,3,Did Joe Biden Use the N-Word in a Recorded Speech?,False,False,True,false,
editorial_board_vote,6,Juval Aviv Terrorist Predictions,False,False,True,false,
editorial_board_vote,2,Poll to Legalize Marijuana,False,True,False,false,
editorial_board_vote,5,Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?,False,False,True,false,
editorial_board_vote,9,SCAM ALERT: Texas Roadhouse Vouchers on Facebook,False,False,True,false,
editorial_board_vote,10,Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,False,False,True,false,
