prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn
dual_track_verifier,0.8000,0.5000,1.0000,0.6667,5,4,0,1,1,0,3
weighted_evidence_scorer,0.6000,0.0000,0.0000,0.0000,5,3,0,0,1,1,3
cross_check_simulator,0.6000,0.0000,0.0000,0.0000,5,3,0,0,1,1,3
tribunal_judgment,0.6000,0.3333,1.0000,0.5000,5,3,0,1,2,0,2
editorial_board_vote,0.6000,0.0000,0.0000,0.0000,5,3,0,0,1,1,3
systematic_cross_validator,0.6000,0.0000,0.0000,0.0000,5,3,0,0,1,1,3
detailed_scoring_validator,0.8000,0.5000,1.0000,0.6667,5,4,0,1,1,0,3
enhanced_weighted_scorer,0.8000,0.5000,1.0000,0.6667,5,4,0,1,1,0,3
expert_panel_scoring,0.8000,0.5000,1.0000,0.6667,5,4,0,1,1,0,3
committee_cross_reference,0.6000,0.0000,0.0000,0.0000,5,3,0,0,1,1,3
